"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"2940","Gina Tricot","Iskoskuja 3 A","01600","Vantaa","Myyrmäki","","Vaatekaupat"
"2941","GLO Hotel","Leppävaarankatu 1","02600","Espoo","Etelä-Leppävaara","","Hotellit"
"2942","GLO Hotel","Kluuvikatu 4","00100","Helsinki","Kluuvi","","Hotellit"
"2943","GLO Hotel","Lönnrotinkatu 29","00180","Helsinki","Kamppi","","Hotellit"
"2944","GLO Hotel","Helsinki-Vantaa Lentokenttä, Terminaali 2","01530","Vantaa","Lentokenttä","","Hotellit"
"2945","Global Shop","Hämeentie 5 B","00530","Helsinki","Linjat","","Sekatavarakaupat"
"2947","Goldenpoint","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"2948","Golf Balance","Pihatörmä 1","02210","Espoo","Friisilä","","Urheilukaupat"
"2949","GolfPoint Konala","Ruosilantie 10","00390","Helsinki","Konala","",""
"2950","Goofin' Records","Hämeentie 46","00500","Helsinki","Torkkelinmäki","",""
"2952","Greenbike","Bulevardi 32","00120","Helsinki","Kamppi","","Urheilukaupat"
"2962","GSM-Store","Unioninkatu 39","00170","Helsinki","Kluuvi","","Matkapuhelimet"
"2965","Guess Shop","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"2967","Gusto","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"2968","H&M Hennes & Mauritz","Piispansilta 11","02230","Espoo","Matinkylä","","Vaatekaupat"
"2969","H&M Hennes & Mauritz","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"2970","H&M Hennes & Mauritz","Länsituulentie 12","02100","Espoo","Tapiola","","Vaatekaupat"
"2971","H&M Hennes & Mauritz","Siltakatu 11","02770","Espoo","Suvela","","Vaatekaupat"
"2973","H&M Hennes & Mauritz","Aleksanterinkatu 11","00100","Helsinki","Kluuvi","","Vaatekaupat"
"2974","H&M Hennes & Mauritz","Mannerheimintie 20","00100","Helsinki","Kamppi","","Vaatekaupat"
"2975","H&M Hennes & Mauritz","Turunlinnantie 4","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"2976","H&M Hennes & Mauritz","Aleksanterinkatu 48","00100","Helsinki","Kluuvi","","Vaatekaupat"
"2977","H&M Hennes & Mauritz","Hämeentie 109-111","00550","Helsinki","Arabianranta","","Vaatekaupat"
"2978","H&M Hennes & Mauritz","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Vaatekaupat"
"3018","H&M Hennes & Mauritz","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Vaatekaupat"
"3019","H&M Hennes & Mauritz","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Vaatekaupat"
"3025","Hairmail","Runeberginkatu 4 B","00100","Helsinki","Kamppi","","Kauneus ja terveys"
"3029","HairStore Megasalon","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Parturit ja kampaamot"
"3035","Hakunilan apteekki","Laukkarinne 6","01200","Vantaa","Hakunila","","Apteekit"
"3039","Halonen","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"3040","Halonen","Pohjoisesplanadi 37","00100","Helsinki","Kluuvi","","Vaatekaupat"
"3041","Halonen","Itäkatu 1-5 A","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"3095","Halti Store","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"3096","Hämeenheikki","Hitsaajankatu 8","00810","Helsinki","Herttoniemenranta","","Elektroniikkaliikkeet"
"3106","Hämeentien Auto ja Rengas Oy","Hämeentie 103 A","00550","Helsinki","Hermanni","","Autokorjaamot"
"3109","Handelsbanken","Nelikkotie 2","02230","Espoo","Matinkylä","","Pankit"
"3110","Handelsbanken","Länsituulentie 1","02101","Espoo","Tapiola","","Pankit"
"3112","Handelsbanken","Erottajankatu 11","00130","Helsinki","Kaartinkaupunki","","Pankit"
"3113","Handelsbanken","Siltasaarenkatu 18-20","00530","Helsinki","Siltasaari","","Pankit"
"3114","Handelsbanken","Tallinnanaukio 1","00930","Helsinki","Itäkeskus","","Pankit"
"3115","Handelsbanken","Simonkatu 9","00101","Helsinki","Kamppi","","Pankit"
"3116","Handelsbanken","Raumantie 1","00351","Helsinki","Munkkivuori","","Pankit"
"3117","Handelsbanken","Pasilankatu 8","00240","Helsinki","Länsi-Pasila","","Pankit"
"3118","Handelsbanken","Aleksanterinkatu 46 A","00101","Helsinki","Kluuvi","","Pankit"
"3119","Handelsbanken","Itämerenkatu 9","00180","Helsinki","Ruoholahti","","Pankit"
"3125","Handelsbanken","Thurmaninaukio 10","02700","Kauniainen"," ","","Pankit"
"3152","Handelsbanken","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Pankit"
"3153","Handelsbanken","Liesitori 1","01600","Vantaa","Myyrmäki","","Pankit"
"3154","Handelsbanken","Kielotie 28","01301","Vantaa","Tikkurila","","Pankit"
"3162","haukilahden sivuapteekki","Haukilahdenkatu 25","02170","Espoo","Haukilahti","","Apteekit"
"3165","Hauler Pizza & Kebab","Vihdintie 15","00320","Helsinki","Etelä-Haaga","","Pizzeriat"
"3166","Hbl asiakaspalvelu","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Muut"
"3167","HealtEx Club","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kuntosalit"
"3174","Hellsinki Rock Shop","Albertinkatu 38","00180","Helsinki","Kamppi","","Vaatekaupat"
"3176","Helmisisustus","Itäinen valkoisenlahteentie 19","01260","Vantaa","Kuninkaanmäki","","Sisustusliikkeet"
"3177","Helppomuutto","Hyttitie 4 B","00700","Helsinki","Malmin Lentokenttä","","Muut"
"3178","Helsingin Akvaariokeskus","Itämerenkatu 26","00180","Helsinki","Ruoholahti","","Eläinkaupat"
"3179","Helsingin Jäätelötehdas","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Jäätelöbaarit"
"3180","Helsingin OP Pankki","Ulappakatu 1 A","02320","Espoo","Espoonlahti","","Pankit"
"3181","Helsingin OP Pankki","Revontulenpuisto 2","02100","Espoo","Tapiola","","Pankit"
"3182","Helsingin OP Pankki","Piispansilta 11","02230","Espoo","Matinkylä","","Pankit"
"3183","Helsingin OP Pankki","Länsituulentie 8","02100","Espoo","Tapiola","","Pankit"
"3184","Helsingin OP Pankki","Läkkisepänkuja 4","02650","Espoo","Pohjois-Leppävaara","","Pankit"
"3185","Helsingin OP Pankki","Siltakatu 11","02770","Espoo","Suvela","","Pankit"
"3186","Helsingin OP Pankki","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Pankit"
"3187","Helsingin OP Pankki","Ostostie 4","00940","Helsinki","Kontula","","Pankit"
"3188","Helsingin OP Pankki","Arkadiankatu 23","00100","Helsinki","Etu-Töölö","","Pankit"
"3189","Helsingin OP Pankki","Bulevardi 5","00120","Helsinki","Kamppi","","Pankit"
"3190","Helsingin OP Pankki","Mikonkatu 13","00100","Helsinki","Kluuvi","","Pankit"
"3191","Helsingin OP Pankki","Kylänvanhimmantie 29","00640","Helsinki","Patola","","Pankit"
"3192","Helsingin OP Pankki","Malmin Kauppatie 18","00700","Helsinki","Ylä-Malmi","","Pankit"
"3193","Helsingin OP Pankki","Itämerenkatu 21","00180","Helsinki","Ruoholahti","","Pankit"
"3194","Helsingin OP Pankki","Mannerheimintie 114","00250","Helsinki","Meilahti","","Pankit"
"3195","Helsingin OP Pankki","Turunlinnantie 14","00930","Helsinki","Itäkeskus","","Pankit"
"3196","Helsingin OP Pankki","Mikonkatu 13 A","00101","Helsinki","Kluuvi","","Pankit"
"3197","Helsingin OP Pankki","Hakaniemenranta 1","00530","Helsinki","Siltasaari","","Pankit"
"3198","Helsingin OP Pankki","Raumantie 1","00350","Helsinki","Munkkivuori","","Pankit"
"3199","Helsingin OP Pankki","Kaisaniemenkatu 1 B","00101","Helsinki","Kluuvi","","Pankit"
"3200","Helsingin OP Pankki","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Pankit"
"3201","Helsingin OP Pankki","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Pankit"
"3202","Helsingin OP Pankki","Teollisuuskatu 1 E","00510","Helsinki","Vallila","","Pankit"
"3203","Helsingin OP Pankki","Hitsaajankatu 22","00810","Helsinki","Herttoniemenranta","","Pankit"
"3204","Helsingin OP Pankki","Aleksanterinkatu 19","00100","Helsinki","Kluuvi","","Pankit"
"3205","Helsingin OP Pankki","Kauniaistentie 7","02700","Kauniainen"," ","","Pankit"
"3207","Helsingin OP Pankki","Kivivuorentie 4","01620","Vantaa","Martinlaakso","","Pankit"
"3208","Helsingin OP Pankki","Merikotkanpolku 2","01450","Vantaa","Korso","","Pankit"
"3209","Helsingin OP Pankki","Neilikkatie 17","01300","Vantaa","Tikkurila","","Pankit"
"3210","Helsingin OP Pankki","Kielotie 11","01300","Vantaa","Tikkurila","","Pankit"
"3211","Helsingin OP Pankki","Myyrmäenraitti 2","01600","Vantaa","Myyrmäki","","Pankit"
"3212","Helsingin OP Pankki","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Pankit"
"3213","Helsink Tattoo Studio","Luotsikatu 6","00160","Helsinki","Katajanokka","","Muut"
"3214","Hempsteri","Helsinginkatu 20","00530","Helsinki","Torkkelinmäki","",""
"3216","Hemtex","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Tekstiilit"
"3217","Hemtex","Piispansilta 11","02230","Espoo","Matinkylä","","Tekstiilit"
"3218","Hemtex","Siltasaarenkatu 16","00530","Helsinki","Siltasaari","","Tekstiilit"
"3219","Hemtex","Itäkatu 7","00930","Helsinki","Itäkeskus","","Tekstiilit"
"3220","Hemtex","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Tekstiilit"
"3221","Hemtex","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Tekstiilit"
"3234","Hemtex","Vantaanportinkatu 3","01530","Vantaa","Pakkala","","Tekstiilit"
"3236","herttoniemen apteekki","Hiihtomäentie 14","00810","Helsinki","Länsi-Herttoniemi","","Apteekit"
"3237","Herttoniemen kirjasto","Kettutie 8 C","00099","Helsinki","Länsi-Herttoniemi","","Kirjastot"
"3243","Hesburger","Isonniitynkuja 2","02270","Espoo","Eestinmalmi","","Pikaruokalat"
"3244","Hesburger","Ratsukatu 3","02600","Espoo","Etelä-Leppävaara","","Pikaruokalat"
"3245","Hesburger","Koivu-Mankkaan tie 5","02200","Espoo","Länsikorkee","","Pikaruokalat"
"3246","Hesburger","Kamreerintie 3","02770","Espoo","Suvela","","Pikaruokalat"
"3247","Hesburger","Kivenlahdentie 2","02320","Espoo","Kivenlahti","","Pikaruokalat"
"3248","Hesburger","Piispansilta 11","02230","Espoo","Matinkylä","","Pikaruokalat"
"3249","Hesburger","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Pikaruokalat"
"3250","Hesburger","Lähderannantie 22","02720","Espoo","Lähderanta","","Pikaruokalat"
"3267","Hesburger","Hämeentie 2","00530","Helsinki","Siltasaari","","Pikaruokalat"
"3268","Hesburger","Itäkatu 7 E 18","00930","Helsinki","Itäkeskus","","Pikaruokalat"
"3269","Hesburger","Kauppakartanonkatu 3","00930","Helsinki","Itäkeskus","","Pikaruokalat"
"3270","Hesburger","Vuorikatu 14","00100","Helsinki","Kluuvi","","Pikaruokalat"
"3271","Hesburger","Helsinginkatu 28","00530","Helsinki","Linjat","","Pikaruokalat"
"3272","Hesburger","Kasarmikatu 19","00130","Helsinki","Kaartinkaupunki","","Pikaruokalat"
"3273","Hesburger","Kaupintie 19","00440","Helsinki","Lassila","","Pikaruokalat"
"3274","Hesburger","Lirokuja 1","00940","Helsinki","Kontula","","Pikaruokalat"
"3275","Hesburger","Vähänkyröntie 2","00610","Helsinki","Käpylä","","Pikaruokalat"
"3276","Hesburger","Varikkotie 2","00880","Helsinki","Roihupelto","","Pikaruokalat"
"3277","Hesburger","Malmin Kauppatie 18","00700","Helsinki","Ylä-Malmi","","Pikaruokalat"
"3278","Hesburger","Ratapihantie 6","00520","Helsinki","Itä-Pasila","","Pikaruokalat"
"3279","Hesburger","Rapakivenkaari 3","00720","Helsinki","Ala-Malmi","","Pikaruokalat"
"3280","Hesburger","Kaivokatu","00100","Helsinki","Kluuvi","","Pikaruokalat"
"3281","Hesburger","Porkkalankatu 9-11","00180","Helsinki","Ruoholahti","","Pikaruokalat"
"3282","Hesburger","Mannerheimintie 105","00280","Helsinki","Ruskeasuo","","Pikaruokalat"
"3283","Hesburger","Fredrikinkatu 65","00100","Helsinki","Kamppi","","Pikaruokalat"
"3284","Hesburger","Mannerheimintie 19 A","00250","Helsinki","Taka-Töölö","","Pikaruokalat"
"3285","Hesburger","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Pikaruokalat"
"3286","Hesburger","Tietokuja 1","00330","Helsinki","Vanha Munkkiniemi","","Pikaruokalat"
"3287","Hesburger","Turuntie 14","00370","Helsinki","Mäkkylä","","Pikaruokalat"
"3288","Hesburger","Ajomiehentie 1","00390","Helsinki","Konala","","Pikaruokalat"
"3289","Hesburger","Kivensilmänkuja 1","00920","Helsinki","Myllypuro","","Pikaruokalat"
"3290","Hesburger","Tyynenmerenkatu 9","00180","Helsinki","Jätkäsaari","","Pikaruokalat"
"3291","Hesburger","Aleksanterinkatu 52","00100","Helsinki","Kluuvi","","Pikaruokalat"
"3292","Hesburger","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Pikaruokalat"
"3293","Hesburger","Nordenskiöldinkatu 22","00240","Helsinki","Länsi-Pasila","","Pikaruokalat"
"3294","Hesburger","Siltavoudintie 19","00640","Helsinki","Patola","","Pikaruokalat"
"3295","Hesburger","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Pikaruokalat"
"3296","Hesburger","Asema-Aukio","00100","Helsinki","Kluuvi","","Pikaruokalat"
"3496","Hesburger","Tasetie 8","01510","Vantaa","Pakkala","","Pikaruokalat"
"3497","Hesburger","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Pikaruokalat"
"3498","Hesburger","Vantaanportinkatu 2","01510","Vantaa","Pakkala","","Pikaruokalat"
"3499","Hesburger","Martinlaaksontie 1","01620","Vantaa","Vantaanlaakso","","Pikaruokalat"
"3500","Hesburger","Raappavuorentie 10","01600","Vantaa","Myyrmäki","","Pikaruokalat"
"3501","Hesburger","Asematie 4-10","01300","Vantaa","Tikkurila","","Pikaruokalat"
"3502","Hesburger","Valimotie 9","01510","Vantaa","Tammisto","","Pikaruokalat"
"3510","Heureka","Kuninkaalantie 7","01300","Vantaa","Kuninkaala","",""
"3511","Heureka Shop","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"3512","Hi5Bikes","Puusepänkatu 11","00880","Helsinki","Herttoniemi","","Urheilukaupat"
"3513","Hierontaiatros","Ojahaanrinne 2","01600","Vantaa","Myyrmäki","","Hierontapaikat"
"3514","Hietalahden apteekki","Hietalahdenranta 5-7","00120","Helsinki","Punavuori","","Apteekit"
"3526","HippoSport","Kilonkartanontie 2","02610","Espoo","Kuninkainen","","Eläinkaupat"
"3533","Hiusstudio NÄKY","Peltolantie 2","01300","Vantaa","Viertola","","Parturit ja kampaamot"
"3534","HLR Golf Academy","Ruosilantie 10","00390","Helsinki","Konala","","Liikuntapaikat"
"3535","Hobby Hall","Valimotie 11","01510","Vantaa","Tammisto","","Sekatavarakaupat"
"3536","Hobby-Point","Fredrikinkatu 61","00100","Helsinki","Kamppi","","Askartelukaupat"
"3537","Hoidonaika","Rusthollarinkuja 2","00910","Helsinki","Puotila","","Luontaistuotekaupat"
"3539","Holiday Inn","Messuaukio 1","00520","Helsinki","Itä-Pasila","","Hotellit"
"3540","Holiday Inn","Elielinaukio 5","00100","Helsinki","Kluuvi","","Hotellit"
"3541","Holiday Inn","Sulhasenkuja 3","00180","Helsinki","Ruoholahti","","Hotellit"
"3545","Holiday Inn","Rälssitie 2","01510","Vantaa","Veromies","","Hotellit"
"3551","Hong Kong","Nimismiehenpelto 6","02770","Espoo","Muurala","","Sekatavarakaupat"
"3552","Hong Kong","Martinsillantie 10","02270","Espoo","Eestinmalmi","","Sekatavarakaupat"
"3576","Hong Kong","Porttipuistontie 1","01200","Vantaa","Kuninkaala","","Sekatavarakaupat"
"3581","Hot Lips","Louhentie 2","02130","Espoo","Pohjois-Tapiola","","Erotiikkamyymälät"
"3583","Hot Lips","Asiakkaankatu 5","00930","Helsinki","Itäkeskus","","Erotiikkamyymälät"
"3588","Hot Lips","Peltolantie 2","01300","Vantaa","Viertola","","Erotiikkamyymälät"
"3589","Hot Lips","Uomatie 4","01600","Vantaa","Myyrmäki","","Erotiikkamyymälät"
"3593","HSL palvelupiste","Rautatientorin Metroasema","00100","Helsinki","Kluuvi","","Muut"
"3594","HSY, Sortti-asema","Ämmässuontie 8","02820","Espoo","Ämmässuo","","Muut"
"3595","HSY, Sortti-asema","Kivikonlaita 5","00940","Helsinki","Kivikko","","Muut"
"3596","HSY, Sortti-asema","Betonitie 5","00390","Helsinki","Konala","","Muut"
"3600","Hullu Kukko","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Ravintolat"
"3603","Huoneistokeskus","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Kiinteistönvälitys"
"3604","Huoneistokeskus","Kamreerintie 3","02770","Espoo","Suvela","","Kiinteistönvälitys"
"3605","Huoneistokeskus","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Kiinteistönvälitys"
"3606","Huoneistokeskus","Leppävaarankatu 7","02600","Espoo","Etelä-Leppävaara","","Kiinteistönvälitys"
"3607","Huoneistokeskus","Piispansilta 11 T 42","02230","Espoo","Matinkylä","","Kiinteistönvälitys"
"3608","Huoneistokeskus","Tapiontori 3 B","02100","Espoo","Tapiola","","Kiinteistönvälitys"
"3609","Huoneistokeskus","Länsituulentie 10","02120","Espoo","Tapiola","","Kiinteistönvälitys"
"3611","Huoneistokeskus","Mannerheimintie 7","00100","Helsinki","Kluuvi","","Kiinteistönvälitys"
"3612","Huoneistokeskus","Liisankatu 18","00170","Helsinki","Kruununhaka","","Kiinteistönvälitys"
"3613","Huoneistokeskus","Gyldenintie 6","00200","Helsinki","Lauttasaari","","Kiinteistönvälitys"
"3614","Huoneistokeskus","Tukholmankatu 2","00250","Helsinki","Meilahti","","Kiinteistönvälitys"
"3615","Huoneistokeskus","Munkkiniemen Puistotie 17","00330","Helsinki","Vanha Munkkiniemi","","Kiinteistönvälitys"
"3616","Huoneistokeskus","Huopalahdentie 24 B","00350","Helsinki","Munkkivuori","","Kiinteistönvälitys"
"3617","Huoneistokeskus","Aleksanterinkatu 30","00100","Helsinki","Kluuvi","","Kiinteistönvälitys"
"3618","Huoneistokeskus","Runeberginkatu 44","00260","Helsinki","Taka-Töölö","","Kiinteistönvälitys"
"3619","Huoneistokeskus","Museokatu 40","00100","Helsinki","Etu-Töölö","","Kiinteistönvälitys"
"3620","Huoneistokeskus","Tehtaankatu 11","00140","Helsinki","Ullanlinna","","Kiinteistönvälitys"
"3621","Huoneistokeskus","Paasivuorenkatu 3","00530","Helsinki","Siltasaari","","Kiinteistönvälitys"
"3622","Huoneistokeskus","Porthaninkatu 11","00530","Helsinki","Linjat","","Kiinteistönvälitys"
"3623","Huoneistokeskus","Maistraatinportti 4","00240","Helsinki","Länsi-Pasila","","Kiinteistönvälitys"
"3624","Huoneistokeskus","Insinöörinkatu 3","00880","Helsinki","Herttoniemi","","Kiinteistönvälitys"
"3625","Huoneistokeskus","Iiluodontie 17","00980","Helsinki","Aurinkolahti","","Kiinteistönvälitys"
"3626","Huoneistokeskus","Kauppalantie 20","00320","Helsinki","Etelä-Haaga","","Kiinteistönvälitys"
"3627","Huoneistokeskus","Hiomotie 30","00380","Helsinki","Pitäjänmäki","","Kiinteistönvälitys"
"3628","Huoneistokeskus","Malminkaari 13-19","00700","Helsinki","Ala-Malmi","","Kiinteistönvälitys"
"3629","Huoneistokeskus","Oulunkylän tori 3","00640","Helsinki","Patola","","Kiinteistönvälitys"
"3630","Huoneistokeskus","Pakilantie 56","00660","Helsinki","Länsi-Pakila","","Kiinteistönvälitys"
"3637","Huoneistokeskus","Promenadi 1","02700","Kauniainen","Kauniainen","","Kiinteistönvälitys"
"3665","Huoneistokeskus","Liesikuja 7","01600","Vantaa","Myyrmäki","","Kiinteistönvälitys"
"3666","Huoneistokeskus","Asematie 4-10","01300","Vantaa","Tikkurila","","Kiinteistönvälitys"
"3667","Huoneistokeskus","Asematie 10","01300","Vantaa","Tikkurila","","Kiinteistönvälitys"
"3669","Huonekaluliike Laakkonen","Lyhtytie 6","00750","Helsinki","Suutarila","","Sisustusliikkeet"
"3672","Hyötytaito Oy Ollila","Tehtaankatu 21","00150","Helsinki","Ullanlinna","","Muut"
"3674","HYTÖSEN PUOTI","Helsinginkatu 9","00500","Helsinki","Kallio","","Vaatekaupat"
"3678","I Love Food","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"3679","Ichiban- Sushi","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"3680","Ideaforum","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"3683","Iittala","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Muut"
"3684","Iittala / Arabia tehtaanmyymälä","Hämeentie 135","00560","Helsinki","Arabianranta","","Muut"
"3685","Iittala Shop","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Muut"
"3686","Iittala-myymälä Esplanadi","Pohjoisesplanadi 25","00100","Helsinki","Kaartinkaupunki","","Muut"
"3688","Ikea","Espoontie 21","02740","Espoo","Karvasmäki","","Sisustusliikkeet"
"3692","Ikea","Porttisuontie 18","01200","Vantaa","Kuninkaala","","Sisustusliikkeet"
"3693","IKH","Osoite Ristipellontie 23","00390","Helsinki","Konala","",""
"3694","Ikivireä Terveyskauppa","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Luontaistuotekaupat"
"3703","In Wear","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"3705","Indiska","Piispansilta 11","02230","Espoo","Matinkylä","","Sisustusliikkeet"
"3706","Indiska","Leppävaarankatu 3","02600","Espoo","Etelä-Leppävaara","","Sisustusliikkeet"
"3707","Indiska","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"3708","Indiska","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"3709","Indiska","Mannerheimintie 20","00100","Helsinki","Kluuvi","","Sisustusliikkeet"
"3714","Inglot","Aleksanterinkatu 9","00100","Helsinki","Kluuvi","","Kauneus ja terveys"
"3720","Instrumentarium","Piispansilta 11","02230","Espoo","Matinkylä","","Optikot"
"3721","Instrumentarium","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Optikot"
"3722","Instrumentarium","Länsituulentie 6","02100","Espoo","Tapiola","","Optikot"
"3723","Instrumentarium","Kamreerintie 3","02770","Espoo","Suvela","","Optikot"
"3724","Instrumentarium","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Optikot"
"3734","Instrumentarium","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Optikot"
"3735","Instrumentarium","Aleksanterinkatu 15","00100","Helsinki","Kluuvi","","Optikot"
"3736","Instrumentarium","Siltasaarenkatu 16","00530","Helsinki","Siltasaari","","Optikot"
"3737","Instrumentarium","Keinulaudankuja 4","00940","Helsinki","Kontula","","Optikot"
"3738","Instrumentarium","Malmin Kauppatie 18","00700","Helsinki","Ylä-Malmi","","Optikot"
"3739","Instrumentarium","Raumantie 1","00350","Helsinki","Munkkivuori","","Optikot"
"3740","Instrumentarium","Sandelsinkatu 6","00260","Helsinki","Taka-Töölö","","Optikot"
"3741","Instrumentarium","Itäkatu 7 E 14","00930","Helsinki","Itäkeskus","","Optikot"
"3742","Instrumentarium","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Optikot"
"3743","Instrumentarium","Lauttasaarentie 14","00200","Helsinki","Lauttasaari","","Optikot"
"3744","Instrumentarium","Iso Roobertinkatu 3-5","00120","Helsinki","Punavuori","","Optikot"
"3745","Instrumentarium","Aleksanterinkatu 52","00100","Helsinki","Kluuvi","","Optikot"
"3847","Instrumentarium","Tikkuraitti 13","01300","Vantaa","Tikkurila","","Optikot"
"3848","Instrumentarium","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Optikot"
"3849","Instrumentarium","Iskoskuja 3 A 1","01600","Vantaa","Myyrmäki","","Optikot"
"3850","Instrumentarium","Maakotkantie 10","01450","Vantaa","Korso","","Optikot"
"3854","Intersport","Piispansilta 11","02230","Espoo","Matinkylä","","Urheilukaupat"
"3855","Intersport","Isonniitynkuja 2","02270","Espoo","Eestinmalmi","","Urheilukaupat"
"3856","Intersport","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Urheilukaupat"
"3859","Intersport","Itämerenkatu 21","00180","Helsinki","Ruoholahti","","Urheilukaupat"
"3860","Intersport","Korsholmantie 2","00900","Helsinki","Itäkeskus","","Urheilukaupat"
"3861","Intersport","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Urheilukaupat"
"3862","Intersport","Mikonkatu 7","00100","Helsinki","Kluuvi","","Urheilukaupat"
"3863","Intersport","Mannerheimintie 20","00100","Helsinki","Kamppi","","Urheilukaupat"
"3910","Intersport","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Urheilukaupat"
"3911","Intersport","Tikkuraitti 13","01300","Vantaa","Tikkurila","","Urheilukaupat"
"3918","Iskelmä-Baari","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Ravintolat"
"3919","Isku Koti","Kuitinmäentie 26","02240","Espoo","Friisilä","","Sisustusliikkeet"
"3921","Isku Koti","Varikkotie 2","00880","Helsinki","Roihupelto","","Sisustusliikkeet"
"3922","Isku Koti","Aleksanterinkatu 11","00100","Helsinki","Kluuvi","","Sisustusliikkeet"
"3942","Isku Koti","Martinkyläntie 47","01720","Vantaa","Varisto","","Sisustusliikkeet"
"3943","Isku Koti","Porttisuontie 4","01200","Vantaa","Kuninkaala","","Sisustusliikkeet"
"3946","Isonkarhun kauppa","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Muut"
"3951","Itä-Helsingin pyörähuolto","Meripellontie 11 C","00910","Helsinki","Puotila","","Urheilukaupat"
"3953","itäkeskuksen apteekki","Tallinnanaukio 4","00930","Helsinki","Itäkeskus","","Apteekit"
"3954","Itäkeskuksen kirjasto","Turunlinnantie 1","00900","Helsinki","Itäkeskus","","Kirjastot"
"3955","Itäkeskuksen uimahalli","Olavinlinnantie 6","00900","Helsinki","Puotinharju","","Uimahallit"
"3957","itäväylän apteekki","Asiakkaankatu 11 B","00930","Helsinki","Itäkeskus","","Apteekit"
"3960","J. Rinta-Jouppi","Aamuruskontie 6","00750","Helsinki","Tapulikaupunki","","Autoliikkeet"
"3967","J. Rinta-Jouppi","Kistolantie 3","01750","Vantaa","Luhtaanmäki","","Autoliikkeet"
"3973","Jack & Jones","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"3974","Jack & Jones Forum","Mannerheimintie 20","00100","Helsinki","Kluuvi","","Vaatekaupat"
"3975","Jakomäen apteekki","Jakomäenkuja 4","00770","Helsinki","Jakomäki","","Apteekit"
"3982","Jandec","Korholantie 3","00991","Helsinki","Kluuvi","",""
"3988","Jätkäsaaren apteekki","Tyynenmerenkatu 3","00220","Helsinki","Jätkäsaari","","Apteekit"
